"session_id","window_id","timestamp","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z","linear_accel_x","linear_accel_y","linear_accel_z","latitude","longitude","speed","vibration_intensity","anomaly_score"
"ec3b439f-d3e0-4a5a-8258-625256260387","1","1766814175198","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-9.81","15.3391882","74.12511","0.432105","9.81","0.0"
"ec3b439f-d3e0-4a5a-8258-625256260387","1","1766814175213","-0.19005","3.7129502","9.1060505","-0.0328625","-0.2926","-0.111375","-3.7028841972351074","-7.977590084075928","-5.406708297729493","15.3391882","74.12511","0.432105","10.324039400564926","0.0"
"ec3b439f-d3e0-4a5a-8258-625256260387","1","1766814175225","-0.40005","4.21005","8.49405","0.01375","-0.26895","-0.17105","-0.7197704315185547","0.4681403636932373","-0.36033206939697315","15.3391882","74.12511","0.432105","0.931162754003374","0.0"
"ec3b439f-d3e0-4a5a-8258-625256260387","1","1766814175236","-0.40005","4.21005","8.49405","0.01375","-0.26895","-0.17105","-0.7197704315185547","0.4681403636932373","-0.36033206939697315","15.3391882","74.12511","0.432105","0.931162754003374","0.0"
"ec3b439f-d3e0-4a5a-8258-625256260387","1","1766814175247","-0.40005","4.21005","8.971951","0.1340625","-0.2409","-0.25959998","-0.624614953994751","0.3157317638397217","0.08396858215331982","15.3391882","74.12511","0.432105","0.7048979431379024","0.0"
"ec3b439f-d3e0-4a5a-8258-625256260387","1","1766814175258","-0.40005","4.21005","8.971951","0.1340625","-0.2409","-0.25959998","-0.624614953994751","0.3157317638397217","0.08396858215331982","15.3391882","74.12511","0.432105","0.7048979431379024","0.0"
"ec3b439f-d3e0-4a5a-8258-625256260387","1","1766814175269","-0.40005","4.21005","8.971951","0.1340625","-0.2409","-0.25959998","-0.624614953994751","0.3157317638397217","0.08396858215331982","15.3391882","74.12511","0.432105","0.7048979431379024","0.0"
"ec3b439f-d3e0-4a5a-8258-625256260387","1","1766814175280","-0.15105","4.479","8.877001","0.1681625","-0.210375","-0.2902625","-0.622565746307373","0.6544122695922852","0.09300750732421825","15.3391882","74.12511","0.432105","0.9080164775414853","0.0"
"ec3b439f-d3e0-4a5a-8258-625256260387","1","1766814175292","-0.15105","4.479","8.877001","0.1681625","-0.210375","-0.2902625","-0.622565746307373","0.6544122695922852","0.09300750732421825","15.3391882","74.12511","0.432105","0.9080164775414853","0.0"
"ec3b439f-d3e0-4a5a-8258-625256260387","1","1766814175303","-0.112950005","4.45905","8.092051","0.22247499","-0.1755875","-0.2941125","-0.7591094970703125","0.8393847942352295","-0.6395936584472661","15.3391882","74.12511","0.432105","1.2999592721549469","0.0"
"ec3b439f-d3e0-4a5a-8258-625256260387","1","1766814175314","-0.112950005","4.45905","8.092051","0.22247499","-0.1755875","-0.2941125","-0.7591094970703125","0.8393847942352295","-0.6395936584472661","15.3391882","74.12511","0.432105","1.2999592721549469","0.0"
"ec3b439f-d3e0-4a5a-8258-625256260387","1","1766814175326","-0.36195","4.1719503","6.8089504","0.265375","-0.16445","-0.27225","-1.067570447921753","0.7977174520492554","-1.9282537078857427","15.3391882","74.12511","0.432105","2.343975715862885","0.0"
"ec3b439f-d3e0-4a5a-8258-625256260387","1","1766814175337","-0.36195","4.1719503","6.8089504","0.265375","-0.16445","-0.27225","-1.067570447921753","0.7977174520492554","-1.9282537078857427","15.3391882","74.12511","0.432105","2.343975715862885","0.0"
"ec3b439f-d3e0-4a5a-8258-625256260387","1","1766814175349","-0.34305","4.287","7.7089505","0.3645125","-0.1535875","-0.2635875","-0.8641048669815063","0.5941863059997559","-1.045056877136231","15.3391882","74.12511","0.432105","1.4804993967673523","0.0"
"ec3b439f-d3e0-4a5a-8258-625256260387","1","1766814175360","-0.34305","4.287","7.7089505","0.3645125","-0.1535875","-0.2635875","-0.8641048669815063","0.5941863059997559","-1.045056877136231","15.3391882","74.12511","0.432105","1.4804993967673523","0.0"
"ec3b439f-d3e0-4a5a-8258-625256260387","1","1766814175371","-0.36195","4.07595","9.949051","0.41745","-0.0941875","-0.2523125","-0.13912725448608398","-0.29495835304260254","0.9427494430541987","15.3391882","74.12511","0.432105","0.9975636998956218","0.0"
"ec3b439f-d3e0-4a5a-8258-625256260387","1","1766814175382","-0.36195","4.07595","9.949051","0.41745","-0.0941875","-0.2523125","-0.13912725448608398","-0.29495835304260254","0.9427494430541987","15.3391882","74.12511","0.432105","0.9975636998956218","0.0"
"ec3b439f-d3e0-4a5a-8258-625256260387","1","1766814175393","0.61395","2.35305","9.93","0.3526875","0.0020625","-0.280225","1.6665170192718506","-0.9735372066497803","0.22960323333740185","15.3391882","74.12511","0.432105","1.9436489685674159","0.0"
