session_id,window_id,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,linear_accel_x,linear_accel_y,linear_accel_z,latitude,longitude,speed,vibration_intensity,anomaly_score,raw_magnitude,vibration_only
d3f3eee6-9777-435c-9440-c1f58d603f24,3,1767702231815,3.35205,-7.4890504,-4.9669504,-0.0048125,0.0614625,-0.112475,-0.0550198554992675,0.1122775375843048,-0.219530639648438,15.4212367,73.981285,0.0,0.2526403207914516,0.0,0.1282631072736818,0.026106195870110413
d3f3eee6-9777-435c-9440-c1f58d603f24,3,1767702231826,3.1990502,-7.5649505,-4.9290004,-0.0092124995,0.031075,-0.08085,-0.0236983299255371,0.3063323497772217,-0.2359176254272466,15.4212367,73.981285,0.0,0.387373521744226,0.0,0.08710481199128726,-0.0019403222887667694
d3f3eee6-9777-435c-9440-c1f58d603f24,3,1767702231836,3.1990502,-7.5649505,-4.9290004,-0.0092124995,0.031075,-0.08085,-0.0236983299255371,0.3063323497772217,-0.2359176254272466,15.4212367,73.981285,0.0,0.387373521744226,0.0,0.08710481199128726,0.007512821110829696
d3f3eee6-9777-435c-9440-c1f58d603f24,3,1767702231847,3.00705,-7.5649505,-4.9290004,-0.013475,0.0099,-0.057475,-0.0650281906127929,0.4909721314907074,-0.3062863922119145,15.4212367,73.981285,0.0,0.5823174851651743,0.0,0.0598578420092138,-0.015105150702524044
d3f3eee6-9777-435c-9440-c1f58d603f24,3,1767702231858,3.00705,-7.5649505,-4.9290004,-0.013475,0.0099,-0.057475,-0.0650281906127929,0.4909721314907074,-0.3062863922119145,15.4212367,73.981285,0.0,0.5823174851651743,0.0,0.0598578420092138,-0.016181485607175562
d3f3eee6-9777-435c-9440-c1f58d603f24,3,1767702231869,2.739,-7.3549504,-5.06295,0.0006875,-0.059125,0.0449625,-0.3289375305175781,0.6488964557647705,-0.4986291503906255,15.4212367,73.981285,0.0,0.8819849992524592,0.0,0.07428233092398219,-0.009038636066597616
d3f3eee6-9777-435c-9440-c1f58d603f24,3,1767702231879,2.739,-7.3549504,-5.06295,0.0006875,-0.059125,0.0449625,-0.3289375305175781,0.6488964557647705,-0.4986291503906255,15.4212367,73.981285,0.0,0.8819849992524592,0.0,0.07428233092398219,-0.02257852870718531
d3f3eee6-9777-435c-9440-c1f58d603f24,3,1767702231890,2.739,-7.3549504,-5.06295,0.0006875,-0.059125,0.0449625,-0.3289375305175781,0.6488964557647705,-0.4986291503906255,15.4212367,73.981285,0.0,0.8819849992524592,0.0,0.07428233092398219,-0.04195709978671618
d3f3eee6-9777-435c-9440-c1f58d603f24,3,1767702231901,2.835,-7.3350005,-5.1589503,0.0061875,-0.1109625,0.1186625,-0.3864197731018066,0.5301766395568848,-0.4278970336914067,15.4212367,73.981285,0.0,0.7832645668085513,0.0,0.16257844404701996,0.021994765653495865
d3f3eee6-9777-435c-9440-c1f58d603f24,3,1767702231911,2.835,-7.3350005,-5.1589503,0.0061875,-0.1109625,0.1186625,-0.3864197731018066,0.5301766395568848,-0.4278970336914067,15.4212367,73.981285,0.0,0.7832645668085513,0.0,0.16257844404701996,-0.006050962289248683
d3f3eee6-9777-435c-9440-c1f58d603f24,3,1767702231922,2.95005,-7.5079503,-4.986,0.0020625,-0.1434125,0.1772375,-0.1176700592041015,0.4543322324752807,-0.3383565521240239,15.4212367,73.981285,0.0,0.5785751262060327,0.0,0.22800116330569456,0.02918159706025152
d3f3eee6-9777-435c-9440-c1f58d603f24,3,1767702231933,2.95005,-7.5079503,-4.986,0.0020625,-0.1434125,0.1772375,-0.1176700592041015,0.4543322324752807,-0.3383565521240239,15.4212367,73.981285,0.0,0.5785751262060327,0.0,0.22800116330569456,-0.0014261869108273051
d3f3eee6-9777-435c-9440-c1f58d603f24,3,1767702231944,2.96895,-7.66095,-4.9099503,0.0089375,-0.1816375,0.2248125,0.0359392166137695,0.4418363869190216,-0.24883228302002,15.4212367,73.981285,0.0,0.5083586580057649,0.0,0.2891586423898653,0.030468305819432547
d3f3eee6-9777-435c-9440-c1f58d603f24,3,1767702231954,2.96895,-7.66095,-4.9099503,0.0089375,-0.1816375,0.2248125,0.0359392166137695,0.4418363869190216,-0.24883228302002,15.4212367,73.981285,0.0,0.5083586580057649,0.0,0.2891586423898653,0.0042167263603725795
d3f3eee6-9777-435c-9440-c1f58d603f24,3,1767702231965,3.084,-7.6800003,-4.94805,0.02145,-0.2063875,0.237325,0.0507464408874511,0.2725213468074798,-0.1715427017211919,15.4212367,73.981285,0.0,0.3259907732472072,0.0,0.3152444421100077,0.008516310130471412
d3f3eee6-9777-435c-9440-c1f58d603f24,3,1767702231976,3.084,-7.6800003,-4.94805,0.02145,-0.2063875,0.237325,0.0507464408874511,0.2725213468074798,-0.1715427017211919,15.4212367,73.981285,0.0,0.3259907732472072,0.0,0.3152444421100077,-0.007656864793602259
d3f3eee6-9777-435c-9440-c1f58d603f24,3,1767702231987,3.084,-7.6800003,-4.94805,0.0457875,-0.2209625,0.233475,0.062868595123291,0.1971040666103363,-0.1697793579101567,15.4212367,73.981285,0.0,0.2676331513461912,0.0,0.32470216689683484,-0.00798341363051623
d3f3eee6-9777-435c-9440-c1f58d603f24,3,1767702231998,3.1990502,-7.7380505,-5.00505,0.0457875,-0.2209625,0.233475,0.0671868324279785,0.114357404410839,-0.0558076477050786,15.4212367,73.981285,0.0,0.1438964208646748,0.0,0.32470216689683484,-0.011010804722642565
d3f3eee6-9777-435c-9440-c1f58d603f24,3,1767702232008,3.1990502,-7.7380505,-5.00505,0.0457875,-0.2209625,0.233475,0.0671868324279785,0.114357404410839,-0.0558076477050786,15.4212367,73.981285,0.0,0.1438964208646748,0.0,0.32470216689683484,-0.007329056289634749
d3f3eee6-9777-435c-9440-c1f58d603f24,3,1767702232019,3.3330002,-7.6420503,-4.9669504,0.061875,-0.2168375,0.22055,0.0927619934082031,-0.1152304336428642,-0.1064658737182622,15.4212367,73.981285,0.0,0.1822575719282439,0.0,0.31541927577630696,-0.006666983781534538
