"session_id","window_id","timestamp","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z","linear_accel_x","linear_accel_y","linear_accel_z","latitude","longitude","speed","vibration_intensity","anomaly_score"
"2f75ce0f-ed82-4c76-9b66-742e759bb68e","1","1766915354140","-0.094050005","0.24705002","12.24705","-0.2418625","0.3348125","-0.8757375","5.320127964019775","-0.5566734671592712","1.2102751159667964","15.3598733","74.10381","3.9551256","5.484378976594594","0.0"
"2f75ce0f-ed82-4c76-9b66-742e759bb68e","1","1766915354150","-0.094050005","0.24705002","12.24705","-0.2418625","0.3348125","-0.8757375","5.320127964019775","-0.5566734671592712","1.2102751159667964","15.3598733","74.10381","3.9551256","5.484378976594594","0.0"
"2f75ce0f-ed82-4c76-9b66-742e759bb68e","1","1766915354161","0.441","1.6060501","8.014951","-0.4926625","0.376475","-0.7591375","2.421060085296631","0.7003492712974548","-2.0214639282226567","15.3598733","74.10381","3.9551256","3.2308416011201757","0.0"
"2f75ce0f-ed82-4c76-9b66-742e759bb68e","1","1766915354171","0.441","1.6060501","8.014951","-0.4926625","0.376475","-0.7591375","2.421060085296631","0.7003492712974548","-2.0214639282226567","15.3598733","74.10381","3.9551256","3.2308416011201757","0.0"
"2f75ce0f-ed82-4c76-9b66-742e759bb68e","1","1766915354182","0.192","7.2360005","3.5719502","-0.48427498","0.3524125","-0.6557375","-4.342630863189697","2.7913215160369873","-3.604720649719239","15.3598733","74.10381","3.9551256","6.2963425559868496","0.0"
"2f75ce0f-ed82-4c76-9b66-742e759bb68e","1","1766915354192","0.192","7.2360005","3.5719502","-0.48427498","0.3524125","-0.6557375","-4.342630863189697","2.7913215160369873","-3.604720649719239","15.3598733","74.10381","3.9551256","6.2963425559868496","0.0"
"2f75ce0f-ed82-4c76-9b66-742e759bb68e","1","1766915354203","0.192","7.2360005","3.5719502","-0.48427498","0.3524125","-0.6557375","-4.342630863189697","2.7913215160369873","-3.604720649719239","15.3598733","74.10381","3.9551256","6.2963425559868496","0.0"
"2f75ce0f-ed82-4c76-9b66-742e759bb68e","1","1766915354213","-1.7410501","8.00205","7.1719503","-0.300025","0.2770625","-0.595925","-4.047784805297852","1.3835065364837646","0.20010894775390575","15.3598733","74.10381","3.9551256","4.282370343333777","0.0"
"2f75ce0f-ed82-4c76-9b66-742e759bb68e","1","1766915354224","-1.7410501","8.00205","7.1719503","-0.300025","0.2770625","-0.595925","-4.047784805297852","1.3835065364837646","0.20010894775390575","15.3598733","74.10381","3.9551256","4.282370343333777","0.0"
"2f75ce0f-ed82-4c76-9b66-742e759bb68e","1","1766915354234","-1.2240001","4.8040504","9.336","0.3801875","0.234025","-0.729575","-0.2837791442871094","0.7473653554916382","0.7303461456298823","15.3598733","74.10381","3.9551256","1.0828162677748667","0.0"
"2f75ce0f-ed82-4c76-9b66-742e759bb68e","1","1766915354245","-1.2240001","4.8040504","9.336","0.3801875","0.234025","-0.729575","-0.2837791442871094","0.7473653554916382","0.7303461456298823","15.3598733","74.10381","3.9551256","1.0828162677748667","0.0"
