"session_id","window_id","timestamp","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z","linear_accel_x","linear_accel_y","linear_accel_z","latitude","longitude","speed","vibration_intensity","anomaly_score"
"362021cb-71a4-415c-8d22-c46085187d8c","1","1768024991868","-0.36195","9.76395","-1.1179501","0.0017875","-0.0044","0.0011","-0.01478809118270874","0.022171616554260254","0.024370613098144034","15.3277707","74.1245505","0.19859317","0.03611364014104207","0.0"
"362021cb-71a4-415c-8d22-c46085187d8c","1","1768024991879","-0.36195","9.76395","-1.1179501","0.0017875","-0.0044","0.0011","-0.01478809118270874","0.022171616554260254","0.024370613098144034","15.3277707","74.1245505","0.19859317","0.03611364014104207","0.0"
"362021cb-71a4-415c-8d22-c46085187d8c","1","1768024991890","-0.34305","9.74505","-1.1179501","0.0","0.0","0.0","0.002936124801635742","0.018150806427001953","0.004946174621581534","15.3277707","74.1245505","0.19859317","0.019040410872364417","0.0"
"362021cb-71a4-415c-8d22-c46085187d8c","1","1768024991901","-0.34305","9.74505","-1.1179501","0.0","0.0","0.0","0.002936124801635742","0.018150806427001953","0.004946174621581534","15.3277707","74.1245505","0.19859317","0.019040410872364417","0.0"
"362021cb-71a4-415c-8d22-c46085187d8c","1","1768024991912","-0.36195","9.74505","-1.1179501","0.003575","0.0059125","6.875E-4","-0.014981955289840698","0.02220606803894043","0.005606117248534659","15.3277707","74.1245505","0.19859317","0.027367809423867944","0.0"
"362021cb-71a4-415c-8d22-c46085187d8c","1","1768024991923","-0.36195","9.74505","-1.1179501","0.003575","0.0059125","6.875E-4","-0.014981955289840698","0.02220606803894043","0.005606117248534659","15.3277707","74.1245505","0.19859317","0.027367809423867944","0.0"
"362021cb-71a4-415c-8d22-c46085187d8c","1","1768024991934","-0.34305","9.74505","-1.1179501","0.0015125","0.0116875","-0.0017875","0.0027233660221099854","0.01546013355255127","0.004951896667479971","15.3277707","74.1245505","0.19859317","0.016460672299711942","0.0"
"362021cb-71a4-415c-8d22-c46085187d8c","1","1768024991945","-0.34305","9.74505","-1.1179501","0.0015125","0.0116875","-0.0017875","0.0027233660221099854","0.01546013355255127","0.004951896667479971","15.3277707","74.1245505","0.19859317","0.016460672299711942","0.0"
"362021cb-71a4-415c-8d22-c46085187d8c","1","1768024991956","-0.34305","9.74505","-1.1370001","9.625E-4","0.0094875","-0.0023375","0.007842689752578735","0.032120585441589355","0.007095756530761221","15.3277707","74.1245505","0.19859317","0.033817000937538595","0.0"
"362021cb-71a4-415c-8d22-c46085187d8c","1","1768024991967","-0.34305","9.74505","-1.1370001","9.625E-4","0.0094875","-0.0023375","0.007842689752578735","0.032120585441589355","0.007095756530761221","15.3277707","74.1245505","0.19859317","0.033817000937538595","0.0"
"362021cb-71a4-415c-8d22-c46085187d8c","1","1768024991978","-0.36195","9.74505","-1.09905","5.5E-4","0.0067375","-0.0012375","-0.020157605409622192","1.1110305786132812E-4","0.0034880065917963776","15.3277707","74.1245505","0.19859317","0.020457458046490306","0.0"
"362021cb-71a4-415c-8d22-c46085187d8c","1","1768024991989","-0.36195","9.74505","-1.09905","5.5E-4","0.0067375","-0.0012375","-0.020157605409622192","1.1110305786132812E-4","0.0034880065917963776","15.3277707","74.1245505","0.19859317","0.020457458046490306","0.0"
