session_id,window_id,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,linear_accel_x,linear_accel_y,linear_accel_z,latitude,longitude,speed,vibration_intensity,anomaly_score,raw_magnitude,vibration_only
3e9b2e99-0039-4137-8bde-be49cd181e98,3,1767702630634,2.12595,-7.5460505,-5.6179504,0.1794375,0.167475,0.137775,-0.2834119796752929,1.1948195695877075,-0.2436004257202153,15.4211533,73.98118,0.13640139,1.25190148234767,0.0,0.28147405325580194,0.0011506078742257527
3e9b2e99-0039-4137-8bde-be49cd181e98,3,1767702630645,1.8970501,-7.66095,-5.59905,0.1783375,0.1758625,0.1238875,-0.3542304039001465,0.9399439096450806,-0.1855836486816411,15.4211533,73.98118,0.13640139,1.0214768832353138,0.0,0.27942797903708566,-0.0028209027792664414
3e9b2e99-0039-4137-8bde-be49cd181e98,3,1767702630656,1.8970501,-7.66095,-5.59905,0.1783375,0.1758625,0.1238875,-0.3542304039001465,0.9399439096450806,-0.1855836486816411,15.4211533,73.98118,0.13640139,1.0214768832353138,0.0,0.27942797903708566,-0.004987341853527537
3e9b2e99-0039-4137-8bde-be49cd181e98,3,1767702630667,1.57095,-7.5649505,-5.5030503,0.1815,0.1837,0.1282875,-0.3659381866455078,0.6012938022613525,-0.3503747558593755,15.4211533,73.98118,0.13640139,0.786274419415279,0.0,0.28834982687050464,0.0026358692185805793
3e9b2e99-0039-4137-8bde-be49cd181e98,3,1767702630678,1.57095,-7.5649505,-5.5030503,0.1815,0.1837,0.1282875,-0.3659381866455078,0.6012938022613525,-0.3503747558593755,15.4211533,73.98118,0.13640139,0.786274419415279,0.0,0.28834982687050464,0.0031962408328240046
3e9b2e99-0039-4137-8bde-be49cd181e98,3,1767702630689,1.72395,-7.4689503,-5.637,0.177375,0.2058375,0.1049125,-0.1184730529785156,0.685135006904602,-0.3205543136596684,15.4211533,73.98118,0.13640139,0.7656375839612632,0.0,0.29126894734506115,0.009275296916081753
3e9b2e99-0039-4137-8bde-be49cd181e98,3,1767702630700,1.72395,-7.4689503,-5.637,0.177375,0.2058375,0.1049125,-0.1184730529785156,0.685135006904602,-0.3205543136596684,15.4211533,73.98118,0.13640139,0.7656375839612632,0.0,0.29126894734506115,0.015429623852666401
3e9b2e99-0039-4137-8bde-be49cd181e98,3,1767702630711,1.72395,-7.4689503,-5.637,0.177375,0.2058375,0.1049125,-0.1184730529785156,0.685135006904602,-0.3205543136596684,15.4211533,73.98118,0.13640139,0.7656375839612632,0.0,0.29126894734506115,0.024580512373598918
3e9b2e99-0039-4137-8bde-be49cd181e98,3,1767702630722,1.1880001,-7.5079503,-5.5800004,0.15619999,0.198,0.087037496,-0.2493715286254882,0.153902530670166,-0.3849683380126958,15.4211533,73.98118,0.13640139,0.4838106752728295,0.0,0.2667919837362999,0.011866347603989975
3e9b2e99-0039-4137-8bde-be49cd181e98,3,1767702630733,1.1880001,-7.5079503,-5.5800004,0.15619999,0.198,0.087037496,-0.2493715286254882,0.153902530670166,-0.3849683380126958,15.4211533,73.98118,0.13640139,0.4838106752728295,0.0,0.2667919837362999,0.02552645964417099
3e9b2e99-0039-4137-8bde-be49cd181e98,3,1767702630744,1.26495,-7.5649505,-5.5420504,0.1054625,0.15565,0.079475,-0.2509288787841797,0.2146234512329101,-0.3530526733398442,15.4211533,73.98118,0.13640139,0.4833991292704422,0.0,0.20412137818281065,-0.022531551083996786
3e9b2e99-0039-4137-8bde-be49cd181e98,3,1767702630755,1.26495,-7.5649505,-5.5420504,0.1054625,0.15565,0.079475,-0.2509288787841797,0.2146234512329101,-0.3530526733398442,15.4211533,73.98118,0.13640139,0.4833991292704422,0.0,0.20412137818281065,-0.008012929770260139
3e9b2e99-0039-4137-8bde-be49cd181e98,3,1767702630766,1.2070501,-7.623,-5.4079504,0.087037496,0.126775,0.081125,-0.3658351898193359,0.181815505027771,-0.3947911834716802,15.4211533,73.98118,0.13640139,0.5681129663417503,0.0,0.17386400421004347,-0.024854209770636425
3e9b2e99-0039-4137-8bde-be49cd181e98,3,1767702630777,1.2070501,-7.623,-5.4079504,0.087037496,0.126775,0.081125,-0.3658351898193359,0.181815505027771,-0.3947911834716802,15.4211533,73.98118,0.13640139,0.5681129663417503,0.0,0.17386400421004347,-0.013380347252676703
3e9b2e99-0039-4137-8bde-be49cd181e98,3,1767702630789,1.092,-7.5460505,-5.5030503,0.07205,0.072325,0.122099996,-0.2420902252197265,0.032399296760559,-0.4100385284423833,15.4211533,73.98118,0.13640139,0.47727244461074,0.0,0.15915563812884548,-0.019123733100084236
3e9b2e99-0039-4137-8bde-be49cd181e98,3,1767702630799,1.092,-7.5460505,-5.5030503,0.07205,0.072325,0.122099996,-0.2420902252197265,0.032399296760559,-0.4100385284423833,15.4211533,73.98118,0.13640139,0.47727244461074,0.0,0.15915563812884548,-0.012897925919833481
3e9b2e99-0039-4137-8bde-be49cd181e98,3,1767702630810,1.3600501,-7.6039505,-5.427,0.055275,0.015675,0.1519375,-0.2449760437011718,0.3179647922515869,-0.3780847167968755,15.4211533,73.98118,0.13640139,0.5514190096237587,0.0,0.16243778857227156,-0.006008819248043402
3e9b2e99-0039-4137-8bde-be49cd181e98,3,1767702630821,1.3600501,-7.6039505,-5.427,0.055275,0.015675,0.1519375,-0.2449760437011718,0.3179647922515869,-0.3780847167968755,15.4211533,73.98118,0.13640139,0.5514190096237587,0.0,0.16243778857227156,-0.004585718943239374
3e9b2e99-0039-4137-8bde-be49cd181e98,3,1767702630832,1.5330001,-7.5649505,-5.3500504,0.043175,-0.00825,0.16445,-0.2121186256408691,0.5111874341964722,-0.4347510910034184,15.4211533,73.98118,0.13640139,0.7037864842072533,0.0,0.1702232229309503,0.0031083649166399785
